FID,wkb_geometry,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.67,POINT (12.558544292160798 55.69060695494183),680,1071,Betalingsautomat,1448,BLÅ,IN,EGEGADE,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.68,POINT (12.559358153907356 55.690174843009544),681,1072,Betalingsautomat,1504,BLÅ,IN,ELMEGADE,21,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.69,POINT (12.55795256130439 55.68956735889455),682,1073,Betalingsautomat,1504,BLÅ,IN,ELMEGADE,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.70,POINT (12.55562254235572 55.68998056406828),683,1074,Betalingsautomat,5192,BLÅ,IN,NØRREBROGADE,58,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.71,POINT (12.563202663356849 55.687959149910604),686,1077,Betalingsautomat,6740,BLÅ,IN,SORTEDAM DOSSERING,5C,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.72,POINT (12.563250106638527 55.688582585349046),687,1078,Betalingsautomat,5748,Blå,IN,Ravnsborg Tværgade,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.73,POINT (12.564237148890255 55.688743767720034),688,1079,Betalingsautomat,6740,BLÅ,IN,SORTEDAM DOSSERING,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.74,POINT (12.564107252447135 55.689364472953685),689,1080,Betalingsautomat,6240,BLÅ,IN,SANKT HANS GADE,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.75,POINT (12.564242144761984 55.690184195857285),693,1081,Betalingsautomat,6040,Blå,IN,Ryesgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.76,POINT (12.564743625992033 55.68974294886455),690,1082,Betalingsautomat,6312,BLÅ,IN,SCHLEPPEGRELLSGADE,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.77,POINT (12.56500715058701 55.690705787438326),692,1083,Betalingsautomat,6040,Blå,IN,Ryesgade,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.78,POINT (12.56541392152953 55.69022798376575),691,1084,Betalingsautomat,4532,BLÅ,IN,LÆSSØESGADE,1B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.79,POINT (12.5660921437351 55.6914051585029),694,1085,Betalingsautomat,6040,BLÅ,IN,RYESGADE,20,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.80,POINT (12.566931172425047 55.69195662018589),695,1086,Betalingsautomat,6040,BLÅ,IN,RYESGADE,22,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.81,POINT (12.56772044333382 55.692631341141265),696,1087,Betalingsautomat,6040,BLÅ,IN,RYESGADE,31A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.82,POINT (12.563665399695399 55.69111970364785),697,1088,Betalingsautomat,4532,BLÅ,IN,LÆSSØESGADE,17,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.83,POINT (12.562232783071028 55.690354306705046),698,1089,Betalingsautomat,6240,BLÅ,IN,SANKT HANS GADE,22,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.84,POINT (12.563268939388356 55.68970931363783),699,1090,Betalingsautomat,5744,BLÅ,IN,RAVNSBORGGADE,23,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.85,POINT (12.562425169227554 55.68904181181135),700,1091,Betalingsautomat,5744,BLÅ,IN,RAVNSBORGGADE,17,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.86,POINT (12.561506605999616 55.68803846185171),701,1092,Betalingsautomat,5744,BLÅ,IN,RAVNSBORGGADE,4,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.87,POINT (12.5548135890372 55.69395016685604),702,1093,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.88,POINT (12.555115875572879 55.693544552218206),703,1094,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,55A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.89,POINT (12.555165904153268 55.6936520529702),704,1095,Betalingsautomat,2404,Blå,IN,Guldbergsgade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.90,POINT (12.556487874303143 55.69225439330453),705,1096,Betalingsautomat,2404,BLÅ,IN,GULDBERGSGADE,29,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.91,POINT (12.55661925281603 55.691200980722755),706,1097,Betalingsautomat,4892,BLÅ,IN,MØLLEGADE,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.92,POINT (12.555887811942402 55.69086853946739),707,1098,Betalingsautomat,4892,BLÅ,IN,MØLLEGADE,9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.93,POINT (12.555254320405105 55.69103245095011),708,1099,Betalingsautomat,5492,BLÅ,IN,PETER FABERS GADE,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.94,POINT (12.556551916657133 55.69172325030167),709,1100,Betalingsautomat,5492,BLÅ,IN,PETER FABERS GADE,40,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.95,POINT (12.555077231201444 55.6927115885504),710,1101,Betalingsautomat,4688,BLÅ,IN,MEINUNGSGADE,36,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.96,POINT (12.554367897895567 55.69231115085305),711,1102,Betalingsautomat,4688,BLÅ,IN,MEINUNGSGADE,26,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.97,POINT (12.5541400589037 55.691074127446036),713,1104,Betalingsautomat,5192,Blå,IN,Nørrebrogade,68,,2000173,2010-03-01T00:00:00,2012-08-01T00:00:00
parkomat.98,POINT (12.553578027800109 55.69254670186269),715,1106,Betalingsautomat,5406,BLÅ,IN,pRINSESSE CHARLOTTES GADE,10,,2000173,2010-03-01T00:00:00,2011-04-15T00:00:00
parkomat.99,POINT (12.55248380249426 55.6933266438848),716,1107,Betalingsautomat,6408,BLÅ,IN,PRINSESSE CHARLOTTES GADE,14,Husmur,2000173,2010-03-01T00:00:00,2011-04-15T00:00:00
parkomat.100,POINT (12.549792488240275 55.69387716081641),718,1109,Betalingsautomat,2032,BLÅ,IN,Fyensgade,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
parkomat.101,POINT (12.550698574662292 55.69431558167064),719,1110,Betalingsautomat,2032,BLÅ,IN,Fyensgade,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03
