,LAT,LOCATION,LON,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
"(40.5089227, -74.2447432)",40.5089227,2, -74.2447432,0.0,0.0
"(40.508939, -74.2511983)",40.508939,1, -74.2511983,0.0,0.0
"(40.5089423, -74.221584)",40.5089423,16, -74.221584,4.0,0.0
"(40.5089655, -74.234782)",40.5089655,1, -74.234782,0.0,0.0
"(40.5089793, -74.2279277)",40.5089793,1, -74.2279277,0.0,0.0
"(40.5090444, -74.2469013)",40.5090444,21, -74.2469013,8.0,0.0
"(40.5091252, -74.2358614)",40.5091252,1, -74.2358614,0.0,0.0
"(40.5091662, -74.2305572)",40.5091662,2, -74.2305572,0.0,0.0
"(40.5091771, -74.2464271)",40.5091771,1, -74.2464271,0.0,0.0
"(40.5091808, -74.2434351)",40.5091808,5, -74.2434351,0.0,0.0
"(40.5094131, -74.2306407)",40.5094131,2, -74.2306407,0.0,0.0
"(40.5095154, -74.252452)",40.5095154,1, -74.252452,0.0,0.0
"(40.509542, -74.2452489)",40.509542,4, -74.2452489,0.0,0.0
"(40.5095806, -74.2502585)",40.5095806,2, -74.2502585,0.0,0.0
"(40.5095914, -74.2373986)",40.5095914,1, -74.2373986,0.0,0.0
"(40.5096221, -74.2449903)",40.5096221,3, -74.2449903,1.0,0.0
"(40.5096744, -74.2474718)",40.5096744,3, -74.2474718,0.0,0.0
"(40.5098061, -74.2436819)",40.5098061,1, -74.2436819,0.0,0.0
"(40.5099152, -74.2361267)",40.5099152,2, -74.2361267,0.0,0.0
"(40.5099528, -74.2482245)",40.5099528,1, -74.2482245,0.0,0.0
"(40.5099926, -74.2437401)",40.5099926,15, -74.2437401,2.0,0.0
"(40.5100519, -74.2493577)",40.5100519,3, -74.2493577,1.0,0.0
"(40.510079, -74.2507567)",40.510079,1, -74.2507567,0.0,0.0
"(40.5103521, -74.2398755)",40.5103521,1, -74.2398755,0.0,0.0
"(40.5103595, -74.2362721)",40.5103595,1, -74.2362721,0.0,0.0
"(40.5105111, -74.2425733)",40.5105111,4, -74.2425733,0.0,0.0
"(40.5105181, -74.2482769)",40.5105181,10, -74.2482769,0.0,0.0
"(40.5105938, -74.2424117)",40.5105938,7, -74.2424117,0.0,0.0
"(40.5106736, -74.2499857)",40.5106736,1, -74.2499857,0.0,0.0
"(40.510712, -74.2343997)",40.510712,2, -74.2343997,0.0,0.0
"(40.510803, -74.2485549)",40.510803,1, -74.2485549,0.0,0.0
"(40.510817, -74.241981)",40.510817,12, -74.241981,1.0,0.0
"(40.5108201, -74.2311563)",40.5108201,5, -74.2311563,0.0,0.0
"(40.5109108, -74.2417655)",40.5109108,1, -74.2417655,1.0,0.0
"(40.510913, -74.2446066)",40.510913,1, -74.2446066,0.0,0.0
"(40.5109243, -74.231189)",40.5109243,8, -74.231189,1.0,0.0
"(40.5110705, -74.2466822)",40.5110705,8, -74.2466822,0.0,0.0
"(40.5113607, -74.2520669)",40.5113607,6, -74.2520669,1.0,0.0
"(40.5114677, -74.23665)",40.5114677,1, -74.23665,0.0,0.0
"(40.5114924, -74.2405845)",40.5114924,5, -74.2405845,1.0,0.0
"(40.5115632, -74.232885)",40.5115632,1, -74.232885,0.0,0.0
"(40.5116019, -74.2313927)",40.5116019,1, -74.2313927,0.0,0.0
"(40.5116606, -74.2402506)",40.5116606,2, -74.2402506,0.0,0.0
"(40.5117315, -74.2494646)",40.5117315,2, -74.2494646,0.0,0.0
"(40.5117356, -74.2104339)",40.5117356,21, -74.2104339,9.0,0.0
"(40.5117898, -74.2453111)",40.5117898,7, -74.2453111,1.0,0.0
"(40.5118213, -74.231469)",40.5118213,3, -74.231469,1.0,0.0
"(40.5118788, -74.2511482)",40.5118788,2, -74.2511482,0.0,0.0
"(40.5119472, -74.2397014)",40.5119472,13, -74.2397014,7.0,0.0
"(40.5119682, -74.2348249)",40.5119682,1, -74.2348249,0.0,0.0
"(40.5119933, -74.234638)",40.5119933,1, -74.234638,0.0,0.0
"(40.5120355, -74.2368319)",40.5120355,1, -74.2368319,0.0,0.0
"(40.5121205, -74.2368645)",40.5121205,1, -74.2368645,0.0,0.0
"(40.5122398, -74.2349121)",40.5122398,1, -74.2349121,0.0,0.0
"(40.5123464, -74.2443421)",40.5123464,11, -74.2443421,4.0,0.0
"(40.5124731, -74.20634)",40.5124731,1, -74.20634,0.0,0.0
"(40.512613, -74.1970582)",40.512613,1, -74.1970582,2.0,0.0
"(40.5126742, -74.2437751)",40.5126742,4, -74.2437751,1.0,0.0
"(40.5127997, -74.2504936)",40.5127997,1, -74.2504936,0.0,0.0
"(40.5128826, -74.2489906)",40.5128826,4, -74.2489906,2.0,0.0
"(40.5129145, -74.2351447)",40.5129145,1, -74.2351447,0.0,0.0
"(40.5129824, -74.2381731)",40.5129824,3, -74.2381731,2.0,0.0
"(40.5130242, -74.1957396)",40.5130242,1, -74.1957396,0.0,0.0
"(40.5130921, -74.2485634)",40.5130921,5, -74.2485634,0.0,0.0
"(40.5131465, -74.2027385)",40.5131465,1, -74.2027385,0.0,0.0
"(40.5132007, -74.1968514)",40.5132007,2, -74.1968514,0.0,0.0
"(40.5132216, -74.250862)",40.5132216,3, -74.250862,0.0,0.0
"(40.5132503, -74.2452265)",40.5132503,1, -74.2452265,0.0,0.0
"(40.5133238, -74.2002755)",40.5133238,1, -74.2002755,0.0,0.0
"(40.5133736, -74.2016027)",40.5133736,1, -74.2016027,0.0,0.0
"(40.5133773, -74.2010776)",40.5133773,1, -74.2010776,0.0,0.0
"(40.5133932, -74.2425585)",40.5133932,3, -74.2425585,0.0,0.0
"(40.5134642, -74.2374627)",40.5134642,4, -74.2374627,0.0,0.0
"(40.5135139, -74.2373586)",40.5135139,13, -74.2373586,2.0,0.0
"(40.5135884, -74.2475619)",40.5135884,5, -74.2475619,0.0,0.0
"(40.5136471, -74.203747)",40.5136471,1, -74.203747,0.0,0.0
"(40.513762, -74.2472172)",40.513762,7, -74.2472172,1.0,0.0
"(40.5138748, -74.2366693)",40.5138748,6, -74.2366693,5.0,0.0
"(40.5139733, -74.2355116)",40.5139733,1, -74.2355116,0.0,0.0
"(40.5139934, -74.2364108)",40.5139934,1, -74.2364108,0.0,0.0
