,LAT,LOCATION,LON,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
"(40.6288775, -73.980427)",40.6288775,24, -73.980427,0.0,0.0
"(40.6288936, -74.0216373)",40.6288936,1, -74.0216373,0.0,0.0
"(40.6289052, -74.1080351)",40.6289052,2, -74.1080351,0.0,0.0
"(40.6289128, -74.0216697)",40.6289128,1, -74.0216697,1.0,0.0
"(40.6289211, -73.9790004)",40.6289211,7, -73.9790004,2.0,0.0
"(40.6289305, -73.9713664)",40.6289305,42, -73.9713664,8.0,0.0
"(40.6289372, -74.1174416)",40.6289372,1, -74.1174416,1.0,0.0
"(40.6289403, -74.1170417)",40.6289403,1, -74.1170417,0.0,0.0
"(40.6289412, -74.1161879)",40.6289412,72, -74.1161879,23.0,0.0
"(40.6289432, -74.1168724)",40.6289432,1, -74.1168724,0.0,0.0
"(40.6289433, -74.1168147)",40.6289433,1, -74.1168147,1.0,0.0
"(40.628944, -73.9366697)",40.628944,1, -73.9366697,1.0,0.0
"(40.6289503, -74.0797258)",40.6289503,29, -74.0797258,8.0,0.0
"(40.6289558, -73.9492536)",40.6289558,14, -73.9492536,3.0,0.0
"(40.6289594, -73.897203)",40.6289594,11, -73.897203,2.0,0.0
"(40.6289701, -73.903223)",40.6289701,2, -73.903223,0.0,0.0
"(40.6289729, -73.906577)",40.6289729,2, -73.906577,0.0,0.0
"(40.6289896, -74.1249639)",40.6289896,1, -74.1249639,0.0,0.0
"(40.6289932, -73.9836369)",40.6289932,10, -73.9836369,1.0,0.0
"(40.6289957, -74.1638218)",40.6289957,1, -74.1638218,0.0,0.0
"(40.6289966, -74.1072175)",40.6289966,5, -74.1072175,4.0,0.0
"(40.629005, -73.9912096)",40.629005,20, -73.9912096,2.0,0.0
"(40.629013, -74.0376221)",40.629013,1, -74.0376221,0.0,0.0
"(40.6290186, -74.1156152)",40.6290186,4, -74.1156152,0.0,0.0
"(40.6290239, -74.0127028)",40.6290239,6, -74.0127028,2.0,0.0
"(40.6290243, -74.1154351)",40.6290243,1, -74.1154351,0.0,0.0
"(40.6290328, -74.001931)",40.6290328,9, -74.001931,0.0,0.0
"(40.6290374, -74.1653746)",40.6290374,3, -74.1653746,1.0,0.0
"(40.6290426, -73.9414286)",40.6290426,1, -73.9414286,0.0,0.0
"(40.6290569, -73.948324)",40.6290569,26, -73.948324,2.0,0.0
"(40.6290667, -73.9260202)",40.6290667,1, -73.9260202,0.0,0.0
"(40.6290824, -74.114938)",40.6290824,1, -74.114938,0.0,0.0
"(40.6290881, -73.9768496)",40.6290881,11, -73.9768496,3.0,0.0
"(40.6290934, -74.1063962)",40.6290934,1, -74.1063962,0.0,0.0
"(40.6291045, -74.0346392)",40.6291045,10, -74.0346392,3.0,0.0
"(40.629114, -73.970001)",40.629114,4, -73.970001,1.0,0.0
"(40.6291444, -73.9231272)",40.6291444,8, -73.9231272,4.0,0.0
"(40.6291613, -74.0114275)",40.6291613,18, -74.0114275,1.0,0.0
"(40.6291662, -73.947326)",40.6291662,73, -73.947326,25.0,0.0
"(40.6291665, -74.1288047)",40.6291665,5, -74.1288047,1.0,0.0
"(40.6291756, -74.0006341)",40.6291756,1, -74.0006341,0.0,0.0
"(40.6291902, -74.1055786)",40.6291902,6, -74.1055786,2.0,0.0
"(40.6291903, -74.1140592)",40.6291903,1, -74.1140592,0.0,0.0
"(40.6291986, -74.0316563)",40.6291986,9, -74.0316563,0.0,0.0
"(40.6292073, -73.9012556)",40.6292073,6, -73.9012556,4.0,0.0
"(40.6292084, -74.0257408)",40.6292084,1, -74.0257408,0.0,0.0
"(40.6292097, -74.1138935)",40.6292097,1, -74.1138935,0.0,0.0
"(40.6292166, -73.994578)",40.6292166,6, -73.994578,0.0,0.0
"(40.6292172, -74.1251553)",40.6292172,2, -74.1251553,0.0,0.0
"(40.6292317, -73.9689309)",40.6292317,5, -73.9689309,2.0,0.0
"(40.6292331, -73.9961164)",40.6292331,14, -73.9961164,4.0,0.0
"(40.6292348, -74.0160677)",40.6292348,6, -74.0160677,0.0,0.0
"(40.6292468, -74.0052995)",40.6292468,21, -74.0052995,5.0,0.0
"(40.6292495, -74.1232208)",40.6292495,14, -74.1232208,3.0,1.0
"(40.6292579, -74.1376025)",40.6292579,1, -74.1376025,0.0,0.0
"(40.629268, -74.1045483)",40.629268,2, -74.1045483,0.0,0.0
"(40.6292756, -73.946328)",40.6292756,10, -73.946328,1.0,0.0
"(40.6292816, -74.1133604)",40.6292816,38, -74.1133604,4.0,0.0
"(40.6292849, -74.0838801)",40.6292849,4, -74.0838801,1.0,0.0
"(40.6292892, -74.11117)",40.6292892,1, -74.11117,0.0,0.0
"(40.6292895, -73.9826137)",40.6292895,3, -73.9826137,4.0,0.0
"(40.6292955, -74.0286769)",40.6292955,20, -74.0286769,6.0,0.0
"(40.6293133, -74.0227218)",40.6293133,1, -74.0227218,0.0,0.0
"(40.6293142, -74.0852059)",40.6293142,4, -74.0852059,1.0,0.0
"(40.6293175, -74.0880087)",40.6293175,1, -74.0880087,0.0,0.0
"(40.629333, -73.9680014)",40.629333,9, -73.9680014,3.0,0.0
"(40.6293359, -73.9073691)",40.6293359,2, -73.9073691,0.0,0.0
"(40.6293386, -73.9040366)",40.6293386,3, -73.9040366,1.0,0.0
"(40.629344, -74.1271946)",40.629344,1, -74.1271946,0.0,0.0
"(40.629356, -73.9872575)",40.629356,15, -73.9872575,3.0,0.0
"(40.6293613, -73.889518)",40.6293613,1, -73.889518,0.0,0.0
"(40.6293701, -74.0087544)",40.6293701,16, -74.0087544,2.0,0.0
"(40.6293727, -73.9728541)",40.6293727,16, -73.9728541,3.0,0.0
"(40.6293767, -73.9454021)",40.6293767,20, -73.9454021,12.0,0.0
"(40.6293786, -74.0256616)",40.6293786,29, -74.0256616,11.0,0.0
"(40.6293935, -74.1194707)",40.6293935,3, -74.1194707,0.0,0.0
"(40.6293978, -73.9745149)",40.6293978,17, -73.9745149,2.0,0.0
"(40.6294036, -74.1033777)",40.6294036,2, -74.1033777,0.0,0.0
"(40.6294172, -73.8964854)",40.6294172,12, -73.8964854,4.0,0.0
"(40.6294191, -74.0133766)",40.6294191,1, -74.0133766,0.0,0.0
"(40.6294253, -73.9979393)",40.6294253,19, -73.9979393,3.0,0.0
"(40.6294343, -73.9670755)",40.6294343,11, -73.9670755,0.0,0.0
"(40.629451, -73.9798612)",40.629451,22, -73.9798612,7.0,0.0
"(40.6294577, -74.1592872)",40.6294577,1, -74.1592872,0.0,0.0
"(40.6294582, -74.1123808)",40.6294582,1, -74.1123808,0.0,0.0
"(40.6294617, -74.1224682)",40.6294617,2, -74.1224682,0.0,0.0
"(40.6294805, -73.9444689)",40.6294805,2, -73.9444689,0.0,0.0
"(40.629483, -74.1123376)",40.629483,1, -74.1123376,0.0,0.0
"(40.6294862, -74.022639)",40.6294862,51, -74.022639,10.0,1.0
"(40.629493, -74.0807568)",40.629493,7, -74.0807568,2.0,0.0
"(40.6294952, -74.1579867)",40.6294952,3, -74.1579867,1.0,0.0
"(40.6295078, -73.9441554)",40.6295078,84, -73.9441554,33.0,0.0
"(40.6295105, -73.9439789)",40.6295105,1, -73.9439789,0.0,0.0
"(40.6295438, -73.9660811)",40.6295438,51, -73.9660811,19.0,0.0
"(40.6295531, -73.9830532)",40.6295531,7, -73.9830532,5.0,0.0
"(40.6295548, -74.1118694)",40.6295548,1, -74.1118694,0.0,0.0
"(40.6295596, -73.9434096)",40.6295596,15, -73.9434096,1.0,0.0
"(40.6295714, -74.1117757)",40.6295714,1, -74.1117757,0.0,0.0
"(40.6295839, -74.0121193)",40.6295839,9, -74.0121193,0.0,0.0
"(40.6295982, -74.0013474)",40.6295982,11, -74.0013474,0.0,0.0
"(40.6296096, -74.1302466)",40.6296096,4, -74.1302466,0.0,0.0
"(40.6296168, -73.9424729)",40.6296168,3, -73.9424729,0.0,0.0
"(40.6296221, -74.0766644)",40.6296221,32, -74.0766644,5.0,0.0
"(40.6296472, -74.0106999)",40.6296472,51, -74.0106999,6.0,0.0
"(40.6296489, -73.8918268)",40.6296489,2, -73.8918268,0.0,0.0
"(40.629653, -74.0048888)",40.629653,1, -74.0048888,0.0,0.0
"(40.6296533, -73.9650795)",40.6296533,7, -73.9650795,0.0,0.0
"(40.6296578, -74.1406007)",40.6296578,3, -74.1406007,1.0,0.0
"(40.6296767, -73.9415073)",40.6296767,28, -73.9415073,1.0,0.0
"(40.6296792, -73.9817778)",40.6296792,1, -73.9817778,0.0,0.0
"(40.6296844, -74.1112247)",40.6296844,48, -74.1112247,15.0,0.0
"(40.629687, -73.9005127)",40.629687,17, -73.9005127,6.0,0.0
"(40.6296902, -74.1637947)",40.6296902,1, -74.1637947,0.0,0.0
"(40.6297098, -73.9082116)",40.6297098,6, -73.9082116,0.0,0.0
"(40.6297099, -73.9048539)",40.6297099,1, -73.9048539,1.0,0.0
"(40.6297237, -74.1653439)",40.6297237,1, -74.1653439,0.0,0.0
"(40.6297311, -73.9222151)",40.6297311,8, -73.9222151,2.0,0.0
"(40.6297346, -74.0845615)",40.6297346,2, -74.0845615,1.0,0.0
"(40.6297381, -73.96415)",40.6297381,4, -73.96415,2.0,0.0
"(40.6297765, -73.9939944)",40.6297765,15, -73.9939944,3.0,0.0
"(40.6297921, -74.0154878)",40.6297921,8, -74.0154878,0.0,0.0
"(40.6297937, -73.939605)",40.6297937,14, -73.939605,3.0,0.0
"(40.6297943, -73.9183565)",40.6297943,12, -73.9183565,7.0,0.0
"(40.6297963, -74.0747083)",40.6297963,7, -74.0747083,1.0,0.0
"(40.629804, -74.0047195)",40.629804,20, -74.0047195,1.0,0.0
"(40.6298116, -74.1554224)",40.6298116,1, -74.1554224,0.0,0.0
"(40.6298358, -74.116348)",40.6298358,14, -74.116348,3.0,0.0
"(40.6298422, -73.9632204)",40.6298422,15, -73.9632204,3.0,0.0
"(40.6298447, -74.1236145)",40.6298447,3, -74.1236145,2.0,0.0
"(40.6298484, -74.034337)",40.6298484,4, -74.034337,2.0,0.0
"(40.6298529, -74.1210639)",40.6298529,1, -74.1210639,0.0,0.0
"(40.6298536, -73.9386719)",40.6298536,11, -73.9386719,5.0,0.0
"(40.6298598, -73.9790361)",40.6298598,21, -73.9790361,6.0,0.0
"(40.6298625, -74.0213314)",40.6298625,1, -74.0213314,0.0,0.0
"(40.6298704, -73.976997)",40.6298704,27, -73.976997,7.0,0.0
"(40.6298831, -73.8957677)",40.6298831,6, -73.8957677,1.0,0.0
"(40.6299135, -73.9377387)",40.6299135,11, -73.9377387,5.0,0.0
"(40.6299137, -74.0064199)",40.6299137,1, -74.0064199,0.0,0.0
"(40.6299159, -73.9866737)",40.6299159,19, -73.9866737,5.0,0.0
"(40.6299168, -74.0831819)",40.6299168,1, -74.0831819,0.0,0.0
"(40.6299311, -74.1057743)",40.6299311,2, -74.1057743,1.0,0.0
"(40.6299316, -74.0313612)",40.6299316,3, -74.0313612,0.0,0.0
"(40.6299374, -73.9044717)",40.6299374,9, -73.9044717,2.0,0.0
"(40.6299426, -73.94645)",40.6299426,2, -73.94645,0.0,0.0
"(40.6299457, -74.1385982)",40.6299457,1, -74.1385982,0.0,0.0
"(40.6299681, -73.9623269)",40.6299681,3, -73.9623269,0.0,0.0
"(40.6299734, -73.936766)",40.6299734,13, -73.936766,3.0,0.0
"(40.629974, -74.0081276)",40.629974,56, -74.0081276,20.0,0.0
"(40.6299798, -73.9749975)",40.6299798,31, -73.9749975,6.0,0.0
"(40.6299852, -73.9973592)",40.6299852,6, -73.9973592,0.0,0.0
"(40.6299872, -73.9715677)",40.6299872,136, -73.9715677,40.0,0.0
"(40.6300099, -74.0035666)",40.6300099,1, -74.0035666,0.0,0.0
"(40.6300111, -74.0817302)",40.6300111,19, -74.0817302,5.0,0.0
"(40.6300154, -73.9958966)",40.6300154,12, -73.9958966,4.0,0.0
"(40.6300229, -74.0283818)",40.6300229,17, -74.0283818,4.0,0.0
"(40.6300305, -73.9358004)",40.6300305,8, -73.9358004,1.0,0.0
"(40.6300437, -73.9455204)",40.6300437,3, -73.9455204,1.0,0.0
"(40.630053, -74.0767477)",40.630053,1, -74.0767477,0.0,0.0
"(40.6300584, -73.9613685)",40.6300584,3, -73.9613685,1.0,0.0
"(40.630069, -73.9824045)",40.630069,18, -73.9824045,8.0,0.0
"(40.6300865, -73.9090541)",40.6300865,6, -73.9090541,2.0,0.0
"(40.6300885, -74.1673695)",40.6300885,2, -74.1673695,0.0,0.0
"(40.6300903, -73.9348672)",40.6300903,6, -73.9348672,4.0,0.0
"(40.6300921, -73.9057108)",40.6300921,4, -73.9057108,1.0,0.0
"(40.6300951, -74.1035049)",40.6300951,2, -74.1035049,0.0,0.0
"(40.6301087, -74.0253592)",40.6301087,23, -74.0253592,9.0,0.0
"(40.6301093, -74.0786428)",40.6301093,7, -74.0786428,0.0,0.0
"(40.6301138, -74.0100046)",40.6301138,32, -74.0100046,14.0,0.0
"(40.6301149, -74.1088837)",40.6301149,6, -74.1088837,1.0,0.0
"(40.6301276, -73.9900458)",40.6301276,21, -73.9900458,5.0,0.0
"(40.6301285, -73.944807)",40.6301285,25, -73.944807,10.0,0.0
"(40.6301298, -74.0767478)",40.6301298,12, -74.0767478,4.0,0.0
"(40.6301431, -74.0851601)",40.6301431,1, -74.0851601,0.0,0.0
"(40.6301502, -73.9338945)",40.6301502,24, -73.9338945,11.0,0.0
"(40.6301549, -74.0115214)",40.6301549,11, -74.0115214,2.0,0.0
"(40.6301667, -73.8997735)",40.6301667,5, -73.8997735,0.0,0.0
"(40.630168, -74.1135529)",40.630168,3, -74.1135529,0.0,0.0
"(40.6301725, -74.1199044)",40.6301725,4, -74.1199044,0.0,0.0
"(40.6301747, -74.0007494)",40.6301747,21, -74.0007494,5.0,0.0
"(40.6301836, -74.1603806)",40.6301836,1, -74.1603806,0.0,0.0
"(40.6302045, -73.9329397)",40.6302045,2, -73.9329397,0.0,0.0
"(40.6302298, -74.1626504)",40.6302298,1, -74.1626504,0.0,0.0
"(40.6302405, -74.1399066)",40.6302405,2, -74.1399066,3.0,0.0
"(40.6302555, -74.1580282)",40.6302555,2, -74.1580282,0.0,0.0
"(40.6302589, -74.0381128)",40.6302589,1, -74.0381128,0.0,0.0
"(40.6302691, -73.959441)",40.6302691,7, -73.959441,3.0,0.0
"(40.6302698, -73.9319849)",40.6302698,2, -73.9319849,0.0,0.0
"(40.6302761, -74.0042404)",40.6302761,1, -74.0042404,0.0,0.0
"(40.6302824, -73.9781533)",40.6302824,33, -73.9781533,4.0,0.0
"(40.630286, -74.0163418)",40.630286,7, -74.0163418,2.0,0.0
"(40.6302891, -74.1653237)",40.6302891,1, -74.1653237,0.0,0.0
"(40.6302913, -74.0889035)",40.6302913,39, -74.0889035,7.0,0.0
"(40.6302926, -74.1124759)",40.6302926,1, -74.1124759,0.0,0.0
"(40.6302932, -74.1565079)",40.6302932,1, -74.1565079,0.0,0.0
"(40.6303023, -74.0814063)",40.6303023,9, -74.0814063,1.0,0.0
"(40.6303095, -74.166401)",40.6303095,1, -74.166401,0.0,0.0
"(40.6303173, -73.9949094)",40.6303173,1, -73.9949094,0.0,0.0
"(40.6303175, -74.0868212)",40.6303175,10, -74.0868212,1.0,0.0
"(40.6303234, -73.9212993)",40.6303234,3, -73.9212993,2.0,0.0
"(40.6303235, -74.022297)",40.6303235,27, -74.022297,8.0,0.0
"(40.6303248, -73.9862377)",40.6303248,1, -73.9862377,0.0,0.0
"(40.6303278, -74.1425512)",40.6303278,1, -74.1425512,0.0,0.0
"(40.6303296, -73.9310229)",40.6303296,17, -73.9310229,10.0,0.0
"(40.6303364, -73.9934143)",40.6303364,22, -73.9934143,4.0,0.0
"(40.6303521, -74.0149043)",40.6303521,11, -74.0149043,4.0,0.0
"(40.6303577, -74.1075655)",40.6303577,1, -74.1075655,0.0,0.0
"(40.6303609, -74.0838562)",40.6303609,1, -74.0838562,0.0,0.0
"(40.630364, -74.0041359)",40.630364,21, -74.0041359,4.0,0.0
"(40.630366, -74.1074646)",40.630366,10, -74.1074646,2.0,0.0
"(40.6303813, -73.9585006)",40.6303813,7, -73.9585006,1.0,0.0
"(40.6303814, -73.9037865)",40.6303814,7, -73.9037865,6.0,0.0
"(40.6303847, -73.8949996)",40.6303847,18, -73.8949996,10.0,0.0
"(40.6303894, -73.9300538)",40.6303894,6, -73.9300538,1.0,0.0
"(40.630393, -74.1135893)",40.630393,1, -74.1135893,0.0,0.0
"(40.6304226, -74.1113845)",40.6304226,5, -74.1113845,0.0,0.0
"(40.6304305, -73.9663076)",40.6304305,1, -73.9663076,0.0,0.0
"(40.6304344, -74.1240191)",40.6304344,1, -74.1240191,0.0,0.0
"(40.6304465, -73.9291206)",40.6304465,7, -73.9291206,4.0,0.0
"(40.6304522, -73.9098678)",40.6304522,6, -73.9098678,2.0,0.0
"(40.6304578, -73.9065209)",40.6304578,2, -73.9065209,2.0,0.0
"(40.6304653, -74.1069064)",40.6304653,5, -74.1069064,1.0,0.0
"(40.6304724, -74.0181216)",40.6304724,1, -74.0181216,0.0,0.0
"(40.6304785, -73.9860936)",40.6304785,23, -73.9860936,3.0,0.0
"(40.6304821, -73.9981987)",40.6304821,1, -73.9981987,0.0,0.0
"(40.6305063, -73.9281154)",40.6305063,75, -73.9281154,23.0,0.0
"(40.6305069, -74.1862235)",40.6305069,3, -74.1862235,0.0,0.0
"(40.6305126, -73.9573008)",40.6305126,48, -73.9573008,28.0,0.0
"(40.6305322, -74.0896712)",40.6305322,1, -74.0896712,0.0,0.0
"(40.630535, -73.8883884)",40.630535,2, -73.8883884,0.0,0.0
"(40.6305399, -74.1063769)",40.6305399,1, -74.1063769,0.0,0.0
"(40.6305479, -73.9967792)",40.6305479,10, -73.9967792,2.0,0.0
"(40.6305619, -74.1063445)",40.6305619,1, -74.1063445,0.0,0.0
"(40.6305625, -74.1056888)",40.6305625,3, -74.1056888,1.0,0.0
"(40.6305649, -74.0340419)",40.6305649,7, -74.0340419,7.0,0.0
"(40.6305703, -74.1061788)",40.6305703,1, -74.1061788,0.0,0.0
"(40.6305704, -74.1395074)",40.6305704,2, -74.1395074,0.0,0.0
"(40.6305715, -73.9271066)",40.6305715,7, -73.9271066,0.0,0.0
"(40.6305743, -74.084822)",40.6305743,6, -74.084822,0.0,0.0
"(40.6305779, -74.0075008)",40.6305779,15, -74.0075008,7.0,0.0
"(40.6305785, -74.1062365)",40.6305785,2, -74.1062365,1.0,0.0
"(40.6305884, -74.0281371)",40.6305884,1, -74.0281371,0.0,0.0
"(40.630592, -73.9755052)",40.630592,15, -73.9755052,1.0,0.0
"(40.630599, -73.9703029)",40.630599,15, -73.9703029,3.0,0.0
"(40.630618, -74.0396117)",40.630618,4, -74.0396117,0.0,0.0
"(40.6306267, -73.9320206)",40.6306267,1, -73.9320206,1.0,0.0
"(40.6306286, -73.926177)",40.6306286,10, -73.926177,0.0,0.0
"(40.6306299, -73.8990558)",40.6306299,9, -73.8990558,6.0,0.0
"(40.6306327, -74.0092229)",40.6306327,133, -74.0092229,30.0,0.0
"(40.6306347, -74.0884752)",40.6306347,1, -74.0884752,0.0,0.0
"(40.6306606, -74.1176824)",40.6306606,1, -74.1176824,0.0,0.0
"(40.6306618, -74.0310589)",40.6306618,15, -74.0310589,5.0,0.0
"(40.6306656, -73.9633713)",40.6306656,4, -73.9633713,0.0,0.0
"(40.6306728, -73.9818892)",40.6306728,22, -73.9818892,7.0,0.0
"(40.6306819, -74.0109702)",40.6306819,10, -74.0109702,3.0,0.0
"(40.6306875, -73.9894621)",40.6306875,14, -73.9894621,6.0,0.0
"(40.6306883, -73.9252042)",40.6306883,6, -73.9252042,1.0,0.0
"(40.630693, -74.0369313)",40.630693,5, -74.0369313,3.0,0.0
"(40.6306952, -74.1046983)",40.6306952,28, -74.1046983,4.0,0.0
"(40.6307146, -74.1044317)",40.6307146,4, -74.1044317,0.0,0.0
"(40.6307436, -74.139288)",40.6307436,2, -74.139288,0.0,0.0
"(40.6307461, -73.977166)",40.6307461,72, -73.977166,19.0,0.0
"(40.6307476, -73.9717115)",40.6307476,43, -73.9717115,15.0,0.0
"(40.6307481, -73.9242386)",40.6307481,9, -73.9242386,7.0,0.0
"(40.6307531, -74.0280795)",40.6307531,30, -74.0280795,3.0,0.0
"(40.6307552, -74.1165045)",40.6307552,26, -74.1165045,18.0,0.0
"(40.6307566, -74.0001441)",40.6307566,13, -74.0001441,2.0,0.0
"(40.6307894, -73.9956767)",40.6307894,14, -73.9956767,3.0,0.0
"(40.6307903, -73.9455126)",40.6307903,23, -73.9455126,6.0,0.0
"(40.6307922, -74.0795623)",40.6307922,1, -74.0795623,0.0,0.0
"(40.6308031, -74.0048817)",40.6308031,1, -74.0048817,0.0,0.0
"(40.6308059, -74.1036825)",40.6308059,20, -74.1036825,2.0,0.0
"(40.6308078, -73.9233054)",40.6308078,14, -73.9233054,3.0,0.0
"(40.6308262, -73.9106995)",40.6308262,5, -73.9106995,0.0,0.0
"(40.630829, -73.9073526)",40.630829,2, -73.9073526,0.0,0.0
"(40.6308307, -74.0250857)",40.6308307,55, -74.0250857,22.0,0.0
"(40.6308364, -74.1033475)",40.6308364,1, -74.1033475,0.0,0.0
"(40.630842, -73.9030725)",40.630842,13, -73.9030725,2.0,0.0
"(40.6308529, -73.8908161)",40.6308529,4, -73.8908161,0.0,0.0
"(40.6308537, -74.1412697)",40.6308537,1, -74.1412697,0.0,0.0
"(40.6308667, -74.1032323)",40.6308667,1, -74.1032323,0.0,0.0
"(40.6308676, -73.9223362)",40.6308676,9, -73.9223362,1.0,0.0
"(40.630876, -74.1243154)",40.630876,2, -74.1243154,0.0,0.0
"(40.6308781, -73.8942314)",40.6308781,12, -73.8942314,2.0,0.0
"(40.6308856, -74.1304761)",40.6308856,32, -74.1304761,3.0,0.0
"(40.630892, -74.0820159)",40.630892,4, -74.0820159,2.0,0.0
"(40.6308963, -73.992827)",40.6308963,17, -73.992827,3.0,0.0
"(40.6309047, -73.9204195)",40.6309047,27, -73.9204195,6.0,0.0
"(40.6309088, -74.0853052)",40.6309088,3, -74.0853052,0.0,0.0
"(40.6309121, -74.0143208)",40.6309121,18, -74.0143208,4.0,0.0
"(40.6309193, -74.102728)",40.6309193,6, -74.102728,2.0,0.0
"(40.6309239, -74.0035559)",40.6309239,11, -74.0035559,0.0,0.0
"(40.6309273, -73.921367)",40.6309273,19, -73.921367,12.0,0.0
"(40.6309297, -73.8878689)",40.6309297,3, -73.8878689,0.0,0.0
"(40.6309359, -74.1025983)",40.6309359,5, -74.1025983,1.0,0.0
"(40.6309433, -74.1150529)",40.6309433,1, -74.1150529,0.0,0.0
"(40.6309447, -73.8892343)",40.6309447,1, -73.8892343,0.0,0.0
"(40.6309507, -74.0765362)",40.6309507,8, -74.0765362,4.0,0.0
"(40.6309584, -73.9605538)",40.6309584,3, -73.9605538,0.0,0.0
"(40.6309742, -73.9349492)",40.6309742,1, -73.9349492,1.0,0.0
"(40.6309754, -74.0128977)",40.6309754,1, -74.0128977,0.0,0.0
"(40.63098, -74.0778512)",40.63098,9, -74.0778512,2.0,0.0
"(40.6309878, -74.0220234)",40.6309878,23, -74.0220234,4.0,0.0
"(40.6309884, -74.1021192)",40.6309884,1, -74.1021192,0.0,0.0
"(40.6310106, -74.1292081)",40.6310106,9, -74.1292081,1.0,0.0
"(40.6310377, -74.019062)",40.6310377,5, -74.019062,2.0,0.0
"(40.6310384, -73.9855098)",40.6310384,12, -73.9855098,2.0,0.0
"(40.6310741, -74.1015105)",40.6310741,7, -74.1015105,1.0,0.0
"(40.6310796, -74.0880759)",40.6310796,22, -74.0880759,3.0,0.0
"(40.6310923, -73.9070316)",40.6310923,7, -73.9070316,6.0,0.0
"(40.6310931, -73.898349)",40.6310931,8, -73.898349,5.0,0.0
"(40.6310955, -74.1137454)",40.6310955,2, -74.1137454,0.0,0.0
"(40.6311051, -73.9961955)",40.6311051,10, -73.9961955,4.0,0.0
"(40.6311338, -74.1244888)",40.6311338,1, -74.1244888,0.0,0.0
"(40.6311351, -74.0069208)",40.6311351,3, -74.0069208,0.0,0.0
"(40.6311355, -74.1279294)",40.6311355,14, -74.1279294,8.0,0.0
"(40.6311376, -74.1010098)",40.6311376,1, -74.1010098,0.0,0.0
"(40.6311485, -74.1310746)",40.6311485,3, -74.1310746,0.0,0.0
"(40.6311487, -74.1009197)",40.6311487,1, -74.1009197,0.0,0.0
"(40.6311489, -74.1422251)",40.6311489,3, -74.1422251,0.0,0.0
"(40.6311511, -74.0764464)",40.6311511,1, -74.0764464,0.0,0.0
"(40.6311515, -74.0084556)",40.6311515,14, -74.0084556,7.0,0.0
"(40.6311568, -74.1469123)",40.6311568,15, -74.1469123,4.0,0.0
"(40.6311612, -74.1580736)",40.6311612,1, -74.1580736,0.0,0.0
"(40.6311688, -74.127598)",40.6311688,3, -74.127598,0.0,0.0
"(40.6311806, -74.138799)",40.6311806,1, -74.138799,0.0,0.0
"(40.6311815, -73.9281759)",40.6311815,1, -73.9281759,0.0,0.0
"(40.6311828, -74.0929649)",40.6311828,3, -74.0929649,3.0,0.0
"(40.6311847, -73.9563637)",40.6311847,2, -73.9563637,0.0,0.0
"(40.6312008, -74.0367263)",40.6312008,3, -74.0367263,0.0,0.0
"(40.631202, -74.1273747)",40.631202,2, -74.1273747,0.0,0.0
"(40.6312056, -73.9115384)",40.6312056,4, -73.9115384,1.0,0.0
"(40.6312085, -73.9081807)",40.6312085,4, -73.9081807,0.0,0.0
"(40.6312116, -74.0803554)",40.6312116,5, -74.0803554,0.0,0.0
"(40.6312149, -74.1005091)",40.6312149,30, -74.1005091,7.0,0.0
"(40.6312173, -74.0267719)",40.6312173,1, -74.0267719,0.0,0.0
"(40.6312201, -74.1126684)",40.6312201,2, -74.1126684,0.0,0.0
"(40.6312326, -73.981309)",40.6312326,11, -73.981309,2.0,0.0
"(40.6312473, -73.9888784)",40.6312473,25, -73.9888784,9.0,0.0
"(40.6312719, -74.0763745)",40.6312719,2, -74.0763745,1.0,0.0
"(40.6312756, -73.976049)",40.6312756,22, -73.976049,5.0,0.0
"(40.631276, -73.9783115)",40.631276,11, -73.9783115,5.0,0.0
"(40.6312978, -74.0337433)",40.6312978,2, -74.0337433,0.0,0.0
"(40.6313023, -74.0103291)",40.6313023,54, -74.0103291,15.0,0.0
"(40.6313064, -74.0858389)",40.6313064,1, -74.0858389,0.0,0.0
"(40.6313137, -73.9995605)",40.6313137,11, -73.9995605,1.0,0.0
"(40.6313217, -73.9023297)",40.6313217,11, -73.9023297,7.0,0.0
"(40.6313292, -74.0387979)",40.6313292,3, -74.0387979,2.0,0.0
"(40.6313368, -74.1477881)",40.6313368,8, -74.1477881,1.0,0.0
"(40.631344, -73.8935101)",40.631344,8, -73.8935101,13.0,0.0
"(40.6313447, -74.1115697)",40.6313447,4, -74.1115697,0.0,0.0
"(40.6313585, -74.0995222)",40.6313585,2, -74.0995222,0.0,0.0
"(40.6313693, -74.1564492)",40.6313693,1, -74.1564492,0.0,0.0
"(40.631392, -74.0307638)",40.631392,5, -74.0307638,2.0,0.0
"(40.6314203, -74.1260817)",40.6314203,1, -74.1260817,0.0,0.0
"(40.6314232, -73.9554701)",40.6314232,5, -73.9554701,1.0,0.0
"(40.6314304, -73.9311407)",40.6314304,9, -73.9311407,2.0,0.0
"(40.6314325, -74.0860444)",40.6314325,1, -74.0860444,0.0,0.0
"(40.6314439, -74.0188928)",40.6314439,11, -74.0188928,3.0,0.0
"(40.6314469, -74.098881)",40.6314469,3, -74.098881,2.0,0.0
"(40.6314504, -73.8870754)",40.6314504,34, -73.8870754,8.0,0.0
"(40.6314534, -73.9635294)",40.6314534,1, -73.9635294,0.0,0.0
